comune;nati2016;nati2016pnindice;tempopnindice;tempopnalt;pnalt
Apiro;16;2;41;31;Jesi
Arcevia;16;2;31;43;Senigallia
Camerino;45;6;46;46;Macerata
Castelraimondo;26;6;33;41;Macerata
Cerreto D'Esi;24;15;15;40;Jesi
Esanatoglia;16;11;25;53;Jesi
Fabriano;226;168;0;41;Jesi
Fiuminata;10;4;37;64;Macerata
Frontone;12;2;42;45;Urbino
Gagliole;2;1;33;45;Macerata
Genga;8;7;17;37;Jesi
Matelica;69;29;24;49;Macerata
Mergo;3;0;32;24;Jesi
Pergola, 61045 Province of Pesaro and Urbino;40;8;44;49;Urbino
Pioraco;10;4;39;52;Macerata
Rosora;16;1;33;25;Jesi
San Lorenzo in Campo;19;1;46;44;Jesi
Sassoferrato;45;28;20;43;Jesi
Sefro;2;1;48;57;Macerata
Serra San Quirico;24;6;30;28;Jesi
Serra Sant'Abbondio;2;0;36;51;Urbino
