;comune;nati2016;nati2016pnindice;tempopnindice;tempopnalt;pnalt;actual_tempopnindice;actual_tempopnindice_city_center;actual_tempopnalt;actual_tempopnalt_city_center
0;Apiro;16;2;41;31;Jesi;41;40;31;30
1;Arcevia;16;2;31;43;Senigallia;32;31;38;41
2;Camerino;45;6;46;46;Macerata;43;43;45;44
3;Castelraimondo;26;6;33;41;Macerata;33;32;48;44
4;Cerreto D'Esi;24;15;15;40;Jesi;14;13;36;36
5;Esanatoglia;16;11;25;53;Jesi;22;22;54;54
6;Fabriano;226;168;0;41;Jesi;1;0;43;42
7;Fiuminata;10;4;37;64;Macerata;31;30;64;61
8;Frontone;12;2;42;45;Urbino;41;40;45;47
9;Gagliole;2;1;33;45;Macerata;31;30;46;42
10;Genga;8;7;17;37;Jesi;17;16;41;40
11;Matelica;69;29;24;49;Macerata;23;22;51;47
12;Mergo;3;0;32;24;Jesi;32;31;26;25
13;Pergola, 61045 Province of Pesaro and Urbino;40;8;44;49;Urbino;41;39;49;51
14;Pioraco;10;4;39;52;Macerata;37;36;52;49
15;Rosora;16;1;33;25;Jesi;32;31;25;25
16;San Lorenzo in Campo;19;1;46;44;Jesi;45;44;39;40
17;Sassoferrato;45;28;20;43;Jesi;22;21;49;48
18;Sefro;2;1;48;57;Macerata;45;44;58;54
19;Serra San Quirico;24;6;30;28;Jesi;32;31;29;28
20;Serra Sant'Abbondio;2;0;36;51;Urbino;34;33;50;51
